id,name,icon,rarity,description,effect,skill_points,type,parent_id,required_sp,category,base_duration
right_handed,Right-Handed ○,stat_speed.png,Normal,Moderately increase performance on right-handed tracks.,Give stat Speed boost (40),90,normal,,
right_handed_o,Right-Handed ◎,stat_speed.png,Upgraded,Increase performance on right-handed tracks.,Give stat Speed boost (60),,upgrade,right_handed,110
right_handed_demon,Right-Handed Demon,super_stat_speed.png,Upgraded,"Increase proficiency in right-handed tracks, increasing Speed and Power.",Give stat Speed boost (60) and Power boost (60),,upgrade,right_handed,130

left_handed_o,Left-Handed ◎,stat_speed.png,Upgraded,Increase performance on left-handed tracks.,Give stat Speed boost (60),,upgrade,left_handed,110
left_handed,Left-Handed ○,stat_speed.png,Normal,Moderately increase performance on left-handed tracks.,Give stat Speed boost (40),90,normal,,

spring_runner_o,Spring Runner ◎,stat_speed.png,Upgraded,Increase performance in spring.,Give stat Speed boost (60),,upgrade,spring_runner,110
spring_runner,Spring Runner ○,stat_speed.png,Normal,Moderately increase performance in spring.,Give stat Speed boost (40),90,normal,,
spring_spectacle,Spring Spectacle,super_stat_speed.png,Upgraded,"Increase performance in spring, boosting Speed and Power.",Give stat Speed boost (60) and Power boost (60),,upgrade,spring_runner,130

summer_runner_o,Summer Runner ◎,stat_speed.png,Upgraded,Increase performance in summer.,Give stat Speed boost (60),,upgrade,summer_runner,110
summer_runner,Summer Runner ○,stat_speed.png,Normal,Moderately increase performance in summer.,Give stat Speed boost (40),90,normal,,

fall_runner_o,Fall Runner ◎,stat_speed.png,Upgraded,Increase performance in fall.,Give stat Speed boost (60),,upgrade,fall_runner,110
fall_runner,Fall Runner ○,stat_speed.png,Normal,Moderately increase performance in fall.,Give stat Speed boost (40),90,normal,,
fall_frenzy,Fall Frenzy,super_stat_speed.png,Upgraded,"Increase performance in fall, boosting Speed and Power.",Give stat Speed boost (60) and Power boost (60),,upgrade,fall_runner,130

winter_runner_o,Winter Runner ◎,stat_speed.png,Upgraded,Increase performance in winter.,Give stat Speed boost (60),,upgrade,winter_runner,110
winter_runner,Winter Runner ○,stat_speed.png,Normal,Moderately increase performance in winter.,Give stat Speed boost (40),90,normal,,

outer_post_proficiency_o,Outer Post Proficiency ◎,stat_speed.png,Upgraded,Increase performance in brackets 6-8.,Give stat Speed boost (60),,upgrade,outer_post_proficiency,110
outer_post_proficiency,Outer Post Proficiency ○,stat_speed.png,Normal,Moderately increase performance in brackets 6-8.,Give stat Speed boost (40),90,normal,,

maverick_o,Maverick ◎,stat_speed.png,Upgraded,Greatly increase performance when no other runners are using the same strategy.,Give stat Speed boost (60),,upgrade,maverick,110
maverick,Maverick ○,stat_speed.png,Normal,Increase performance when no other runners are using the same strategy.,Give stat Speed boost (40),90,normal,,

long_shot_o,Long Shot ◎,stat_speed.png,Upgraded,Increase performance when 4th favorite or below.,Give stat Speed boost (60),,upgrade,long_shot,110
long_shot,Long Shot ○,stat_speed.png,Normal,Moderately increase performance when 4th favorite or below.,Give stat Speed boost (40),90,normal,,

sympathy,Sympathy,stat_speed.png,Normal,Moderately increase performance when many runners share a sympathetic heart.,Give stat Speed boost (40),90,normal,,
lone_wolf,Lone Wolf,stat_speed.png,Normal,Moderately increase performance when no other runners have the heart of a lone wolf.,Give stat Speed boost (40),90,normal,,

tokyo_racecourse_o,Tokyo Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Tokyo Racecourse.,Give stat Stamina boost (60),,upgrade,tokyo_racecourse,110
tokyo_racecourse,Tokyo Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Tokyo Racecourse.,Give stat Stamina boost (40),90,normal,,

nakayama_racecourse_o,Nakayama Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Nakayama Racecourse.,Give stat Stamina boost (60),,upgrade,nakayama_racecourse,110
nakayama_racecourse,Nakayama Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Nakayama Racecourse.,Give stat Stamina boost (40),90,normal,,

hanshin_racecourse_o,Hanshin Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Hanshin Racecourse.,Give stat Stamina boost (60),,upgrade,hanshin_racecourse,110
hanshin_racecourse,Hanshin Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Hanshin Racecourse.,Give stat Stamina boost (40),90,normal,,

kyoto_racecourse_o,Kyoto Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Kyoto Racecourse.,Give stat Stamina boost (60),,upgrade,kyoto_racecourse,110
kyoto_racecourse,Kyoto Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Kyoto Racecourse.,Give stat Stamina boost (40),90,normal,,
yodo_invicta,Yodo Invicta,super_stat_stamina.png,Upgraded,"Increase performance at Kyoto Racecourse, boosting Stamina and Wit.",Give stat Stamina boost (60) and Wit boost (60),,upgrade,kyoto_racecourse,130

chukyo_racecourse_o,Chukyo Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Chukyo Racecourse.,Give stat Stamina boost (60),,upgrade,chukyo_racecourse,110
chukyo_racecourse,Chukyo Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Chukyo Racecourse.,Give stat Stamina boost (40),90,normal,,

sapporo_racecourse_o,Sapporo Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Sapporo Racecourse.,Give stat Stamina boost (60),,upgrade,sapporo_racecourse,110
sapporo_racecourse,Sapporo Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Sapporo Racecourse.,Give stat Stamina boost (40),90,normal,,

hakodate_racecourse_o,Hakodate Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Hakodate Racecourse.,Give stat Stamina boost (60),,upgrade,hakodate_racecourse,110
hakodate_racecourse,Hakodate Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Hakodate Racecourse.,Give stat Stamina boost (40),90,normal,,

fukushima_racecourse_o,Fukushima Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Fukushima Racecourse.,Give stat Stamina boost (60),,upgrade,fukushima_racecourse,110
fukushima_racecourse,Fukushima Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Fukushima Racecourse.,Give stat Stamina boost (40),90,normal,,

niigata_racecourse_o,Niigata Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Niigata Racecourse.,Give stat Stamina boost (60),,upgrade,niigata_racecourse,110
niigata_racecourse,Niigata Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Niigata Racecourse.,Give stat Stamina boost (40),90,normal,,

kokura_racecourse_o,Kokura Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Kokura Racecourse.,Give stat Stamina boost (60),,upgrade,kokura_racecourse,110
kokura_racecourse,Kokura Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Kokura Racecourse.,Give stat Stamina boost (40),90,normal,,

standard_distance_o,Standard Distance ◎,stat_stamina.png,Upgraded,Increase performance over standard distances (multiples of 400m).,Give stat Stamina boost (60),,upgrade,standard_distance,110
standard_distance,Standard Distance ○,stat_stamina.png,Normal,Moderately increase performance over standard distances (multiples of 400m).,Give stat Stamina boost (40),90,normal,,

non_standard_distance_o,Non-Standard Distance ◎,stat_stamina.png,Upgraded,Increase performance over non-standard distances (non-multiples of 400m).,Give stat Stamina boost (60),,upgrade,non_standard_distance,110
non_standard_distance,Non-Standard Distance ○,stat_stamina.png,Normal,Moderately increase performance over non-standard distances (non-multiples of 400m).,Give stat Stamina boost (40),90,normal,,

oi_racecourse_o,Oi Racecourse ◎,stat_stamina.png,Upgraded,Increase performance at Oi Racecourse.,Give stat Stamina boost (60),,upgrade,oi_racecourse,110
oi_racecourse,Oi Racecourse ○,stat_stamina.png,Normal,Moderately increase performance at Oi Racecourse.,Give stat Stamina boost (40),90,normal,,

firm_conditions_o,Firm Conditions ◎,stat_power.png,Upgraded,Increase performance on firm ground.,Give stat Power boost (60),,upgrade,firm_conditions,110
firm_conditions,Firm Conditions ○,stat_power.png,Normal,Moderately increase performance on firm ground.,Give stat Power boost (40),90,normal,,
firm_course_menace,Firm Course Menace,super_stat_power.png,Upgraded,"Increase performance on firm ground, boosting Power and Speed.",Give stat Power boost (60) and Speed boost (60),,upgrade,firm_conditions,130

wet_conditions_o,Wet Conditions ◎,stat_power.png,Upgraded,"Increase performance on good, soft, and heavy ground.",Give stat Power boost (60),,upgrade,wet_conditions,110
wet_conditions,Wet Conditions ○,stat_power.png,Normal,"Moderately increase performance on good, soft, and heavy ground.",Give stat Power boost (40),90,normal,,

competitive_spirit_o,Competitive Spirit ◎,stat_power.png,Upgraded,Increase performance when many other runners are using the same strategy.,Give stat Power boost (60),,upgrade,competitive_spirit,110
competitive_spirit,Competitive Spirit ○,stat_power.png,Normal,Moderately increase performance when many other runners are using the same strategy.,Give stat Power boost (40),90,normal,,

sunny_days_o,Sunny Days ◎,stat_guts.png,Upgraded,Increase performance in sunny weather.,Give stat Guts boost (60),,upgrade,sunny_days,110
sunny_days,Sunny Days ○,stat_guts.png,Normal,Moderately increase performance in sunny weather.,Give stat Guts boost (40),90,normal,,

cloudy_days_o,Cloudy Days ◎,stat_guts.png,Upgraded,Increase performance in cloudy weather.,Give stat Guts boost (60),,upgrade,cloudy_days,110
cloudy_days,Cloudy Days ○,stat_guts.png,Normal,Moderately increase performance in cloudy weather.,Give stat Guts boost (40),90,normal,,

rainy_days_o,Rainy Days ◎,stat_guts.png,Upgraded,Increase performance in rainy weather.,Give stat Guts boost (60),,upgrade,rainy_days,110
rainy_days,Rainy Days ○,stat_guts.png,Normal,Moderately increase performance in rainy weather.,Give stat Guts boost (40),90,normal,,

snowy_days_o,Snowy Days ◎,stat_guts.png,Upgraded,Increase performance in snowy weather.,Give stat Guts boost (60),,upgrade,snowy_days,110
snowy_days,Snowy Days ○,stat_guts.png,Normal,Moderately increase performance in snowy weather.,Give stat Guts boost (40),90,normal,,

target_in_sight_o,Target in Sight ◎,stat_guts.png,Upgraded,Increase performance when the favorite is using the same strategy.,Give stat Guts boost (60),,upgrade,target_in_sight,110
target_in_sight,Target in Sight ○,stat_guts.png,Normal,Moderately increase performance when the favorite is using the same strategy.,Give stat Guts boost (40),90,normal,,

inner_post_proficiency_o,Inner Post Proficiency ◎,stat_wit.png,Upgraded,Increase performance in brackets 1-3.,Give stat Wit boost (60),,upgrade,inner_post_proficiency,110
inner_post_proficiency,Inner Post Proficiency ○,stat_wit.png,Normal,Moderately increase performance in brackets 1-3.,Give stat Wit boost (40),90,normal,,

front_runner_savvy_o,Front Runner Savvy ◎,stat_wit.png,Upgraded,Increase ability to get into a good position. (Front Runner),Give stat Wit boost (60),,upgrade,front_runner_savvy,110
front_runner_savvy,Front Runner Savvy ○,stat_wit.png,Normal,Moderately increase ability to get into a good position. (Front Runner),Give stat Wit boost (40),90,normal,,

pace_chaser_savvy_o,Pace Chaser Savvy ◎,stat_wit.png,Upgraded,Increase ability to get into a good position. (Pace Chaser),Give stat Wit boost (60),,upgrade,pace_chaser_savvy,110
pace_chaser_savvy,Pace Chaser Savvy ○,stat_wit.png,Normal,Moderately increase ability to get into a good position. (Pace Chaser),Give stat Wit boost (40),90,normal,,

late_surger_savvy_o,Late Surger Savvy ◎,stat_wit.png,Upgraded,Increase ability to get into a good position. (Late Surger),Give stat Wit boost (60),,upgrade,late_surger_savvy,110
